NumOfReceived,PRR,packetLoss,PLR,throughput,IPI,Density,COR
2509,0.5481756609,2068,0.4518243391,57361.3744874,256,7,0
1837,0.5581890003,1454,0.4418109997,42167.3949169,256,7,0
90,1,0,0,2112.30838576,256,7,0
95,1,0,0,-17.8450615325,256,7,0
90,1,0,0,2112.30838576,256,7,0
90,1,0,0,2112.30838576,256,7,0
90,1,0,0,2111.82438632,256,7,0
90,1,0,0,2111.82438632,256,7,0
90,1,0,0,2111.82438632,256,7,0
90,1,0,0,2111.82438632,256,7,0
90,1,0,0,2111.82438632,256,7,0
90,1,0,0,2111.82438632,256,7,0
90,1,0,0,2111.82438632,256,7,0
90,1,0,0,2111.82438632,256,7,0
90,1,0,0,2111.82438632,256,7,0
90,1,0,0,2111.82438632,256,7,0
90,1,0,0,2111.82438632,256,7,0
90,1,0,0,2111.82438632,256,7,0
135,1,0,0,3103.02918859,128,7,0
175,1,0,0,4110.08450334,128,7,0
175,1,0,0,4110.08450334,128,7,0
175,1,0,0,4110.08450334,128,7,0
175,1,0,0,4110.08450334,128,7,0
175,1,0,0,4110.08450334,128,7,0
175,1,0,0,4110.08450334,128,7,0
175,1,0,0,4110.08450334,128,7,0
175,1,0,0,4110.08450334,128,7,0
175,1,0,0,4110.08450334,128,7,0
175,1,0,0,4110.08450334,128,7,0
175,1,0,0,4110.08450334,128,7,0
174,0.9942857143,1,0.0057142857,4086.59830618,128,7,0
158,0.8777777778,22,0.1222222222,3710.81915158,128,7,0
158,0.8633879781,25,0.1366120219,3710.81915158,128,7,0
166,0.8972972973,19,0.1027027027,3898.70872888,128,7,0
171,0.95,9,0.05,4016.13971469,128,7,0
216,0.9310344828,16,0.0689655172,4965.9613239,64,7,0
369,0.9559585492,17,0.0440414508,8533.34270691,64,7,0
389,0.9873096447,5,0.0126903553,8995.85450674,64,7,0
340,0.9659090909,12,0.0340909091,7774.89928647,64,7,0
333,0.9487179487,18,0.0512820513,7702.56087018,64,7,0
342,0.9606741573,14,0.0393258427,7818.88803295,64,7,0
348,0.9830508475,6,0.0169491525,7959.61547281,64,7,0
348,0.9942857143,2,0.0057142857,8049.52307154,64,7,0
360,0.9944751381,2,0.0055248619,8230.40845574,64,7,0
351,0.9915254237,3,0.0084745763,8024.64824435,64,7,0
350,1,0,0,8008.93797478,64,7,0
350,1,0,0,8008.93797478,64,7,0
350,1,0,0,8005.36038932,64,7,0
350,1,0,0,8005.36038932,64,7,0
350,1,0,0,8005.36038932,64,7,0
350,1,0,0,8007.14878243,64,7,0
350,1,0,0,8007.14878243,64,7,0
362,1,0,0,8279.82988838,64,7,0
700,1,0,0,16010.7207786,32,7,0
700,1,0,0,16010.7207786,32,7,0
698,0.9971428571,2,0.0028571429,15964.9758621,32,7,0
699,1,0,0,15987.8483204,32,7,0
691,0.9857346648,10,0.0142653352,15804.8686543,32,7,0
698,0.9971428571,2,0.0028571429,15964.9758621,32,7,0
700,1,0,0,16010.7207786,32,7,0
700,1,0,0,16010.7207786,32,7,0
700,1,0,0,16010.7207786,32,7,0
700,1,0,0,16010.7207786,32,7,0
700,1,0,0,16010.7207786,32,7,0
700,1,0,0,16010.7207786,32,7,0
700,1,0,0,16010.7207786,32,7,0
700,1,0,0,16010.7207786,32,7,0
701,1,0,0,16026.434243,32,7,0
700,1,0,0,16003.5719973,32,7,0
700,1,0,0,16003.5719973,32,7,0
1246,1,0,0,28511.8191902,16,7,0
1400,1,0,0,32035.7518991,16,7,0
1401,1,0,0,32030.0062402,16,7,0
1400,1,0,0,32014.2911796,16,7,0
